freq,stk_flow,sitc06,currency,partner,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,AT	310.185 	248.388 	153.65 	355.246 	231.565 	349.866 	243.101 	319.716 	365.012 	397.135 	354.903 	410.922 	358.145 	260.901 	253.148 	382.007 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,BE	206.314 	276.329 	289.667 	230.272 	287.114 	404.516 	585.12 	592.134 	739.608 	688.698 	819.728 	1095.211 	1203.739 	668.402 	714.982 	844.448 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,BG	11.952 	20.604 	46.705 	6.141 	14.179 	35.898 	18.444 	7.314 	5.022 	1.222 	19.963 	15.655 	36.049 	32.328 	31.287 	30.736 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,CH	649.15 	104.243 	68.402 	69.558 	80.775 	77.839 	67.524 	79.01 	1287.829 	866.348 	911.68 	766.415 	963.82 	879.703 	767.784 	913.352 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,CY	0.014 	1.567 	8.151 	11.294 	19.908 	23.494 	159.268 	1.435 	0.548 	0.271 	64.97 	31.472 	0.426 	21.651 	27.815 	34.915 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,CZ	500.841 	452.664 	490.751 	273.324 	317.897 	335.466 	372.558 	377.746 	332.822 	356.702 	572.357 	468.914 	486.914 	406.252 	412.06 	538.13 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,DE	8107.96 	8672.284 	9773.861 	11470.024 	12054.713 	16509.464 	17803.76 	17551.597 	23650.827 	25755.978 	22771.243 	25295.788 	28298.932 	18769.612 	17422.046 	19133.599 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,DK	82.897 	93.278 	84.032 	54.182 	130.205 	132.265 	114.379 	88.296 	150.111 	82.64 	159.776 	79.242 	42.76 	40.472 	92.577 	116.518 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,EE	2.947 	3.507 	5.858 	0.392 	4.872 	1.437 	5.033 	4.983 	5.819 	19.843 	17.118 	22.157 	21.709 	19.194 	25.977 	24.412 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,EL	28.98 	212.848 	700.022 	231.262 	136.131 	11.735 	22.744 	11.03 	6.63 	4.048 	7.526 	10.887 	4.762 	30.133 	20.647 	5.231 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,ES	1095.656 	1122.735 	1035.846 	1071.211 	1392.462 	1311.149 	3264.253 	2250.329 	2266.264 	3010.663 	2525.436 	1998.841 	2738.688 	1475.897 	1488.544 	2474.613 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,EU27_2020	33065.206 	37760.128 	36294.067 	42419.387 	44387.856 	53886.316 	58672.306 	57969.945 	71006.772 	74172.663 	76924.37 	81757.899 	89567.658 	53664.421 	58056.708 	67639.707 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,FI	66.123 	110.305 	82.677 	285.346 	60.035 	93.437 	115.703 	221.487 	81.665 	58.682 	59.186 	75.115 	179.036 	249.906 	139.745 	164.9 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,FR	18717.395 	21673.956 	18359.488 	23043.21 	24413.586 	28909.597 	29511.529 	30047.542 	34767.985 	34106.137 	38385.944 	39380.343 	43554.345 	22042.723 	26649.56 	31801.597 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,HR	1.436 	8.911 	2.819 	0.584 	6.344 	0.336 	0.663 	0.37 	8.711 	1.175 	3.011 	1.699 	13.272 	0.985 	5.632 	5.995 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,HU	7.005 	20.594 	49.033 	37.573 	63.856 	34.912 	38.811 	39.116 	23.954 	30.972 	41.623 	30.697 	33.304 	18.117 	33.344 	44.883 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,IE	180.302 	253.187 	616.397 	566.888 	689.739 	812.229 	934.221 	1362.315 	3275.726 	3847.018 	3614.346 	4453.723 	4093.97 	3425.049 	3512.688 	2879.461 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,IS	252.506 	239.139 	58.555 	44.406 	5.689 	0.663 	2.451 	3.938 	2.717 	9.125 	6.544 	1.366 	138.307 	8.623 	8.479 	4.288 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,IT	1565.085 	2015.141 	1967.186 	1821.43 	1880.178 	2025.71 	2122.582 	2161.399 	2381.315 	2025.267 	2044.554 	2238.977 	1739.93 	1255.306 	1293.191 	1341.066 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,LT	25.412 	83.14 	20.622 	8.706 	19.118 	48.016 	27.702 	12.606 	16.907 	25.815 	45.579 	30.198 	23.088 	34.434 	44.024 	95.884 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,LU	106.656 	76.86 	255.861 	89.161 	185.41 	142.924 	87.82 	12.052 	99.869 	97.704 	75.431 	56.015 	77.83 	39.834 	111.666 	117.933 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,LV	0.576 	0.911 	0.153 	1.531 	5.315 	8.492 	3.939 	6.24 	2.087 	6.576 	104.75 	369.636 	13.412 	51.491 	23.377 	30.768 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,MT	4.209 	3.333 	7.509 	5.165 	36.764 	61.412 	1.031 	20.659 	2.805 	3.124 	2.215 	2.722 	31.631 	24.539 	5.855 	2.971 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,NL	1173.47 	1381.487 	1338.091 	1390.839 	1134.109 	1159.302 	1338.582 	1166.835 	971.531 	1524.483 	2606.249 	2858.175 	3022.926 	2195.254 	2373.254 	2980.549 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,NO	133.033 	136.812 	150.065 	153.648 	164.971 	242.296 	186.167 	238.275 	90.461 	292.114 	65.505 	61.88 	65.919 	169.243 	111.64 	161.387 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,PL	264.765 	371.051 	502.092 	793.759 	813.607 	1001.132 	1247.856 	1221.609 	1396.167 	1613.306 	1979.568 	2163.347 	2407.756 	1873.773 	2545.178 	3616.979 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,PT	12.143 	4.226 	11.98 	41.257 	59.517 	23.057 	57.282 	69.662 	64.84 	78.726 	155.901 	80.255 	382.308 	106.937 	59.549 	74.036 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,RO	55.533 	87.786 	57.557 	101.087 	40.759 	44.712 	80.34 	100.623 	54.568 	44.555 	51.91 	54.904 	50.698 	54.257 	65.507 	119.202 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,SE	439.399 	470.727 	364.452 	473.2 	369.965 	363.336 	456.915 	303.306 	247.516 	331.835 	356.152 	437.762 	596.896 	477.626 	561.474 	642.384 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,SI	53.393 	44.05 	38.464 	10.757 	16.212 	29.903 	50.698 	14.139 	71.288 	54.069 	77.293 	76.472 	149.983 	73.893 	132.226 	96.088 
A,EXP,AER,MIO_EUR,EXT_EU27_2020,SK	44.558 	50.259 	31.146 	45.549 	4.296 	12.518 	7.972 	5.405 	17.174 	6.018 	7.64 	18.768 	5.147 	15.455 	11.356 	40.405 
A,EXP,AER,MIO_EUR,INT_EU27_2020,AT	242.428 	99.461 	62.95 	115.353 	115.063 	327.668 	853.708 	143.329 	95.523 	157.519 	414.478 	172.803 	199.683 	112.993 	211.592 	192.493 
A,EXP,AER,MIO_EUR,INT_EU27_2020,BE	247.743 	230.336 	460.438 	546.473 	265.324 	272.227 	287.911 	324.41 	541.237 	360.064 	426.456 	361.557 	299.242 	166.208 	186.811 	368.89 
